Number of Threads, Execution Time, Workload
1,1155068, 10 5 10
2,1306046, 10 5 10
3,975580, 10 5 10
4,2762879, 10 5 10
5,1251869, 10 5 10
6,2387010, 10 5 10
7,916667, 10 5 10
8,1475334, 10 5 10
9,1142670, 10 5 10
10,944672, 10 5 10
11,938408, 10 5 10
12,963952, 10 5 10
13,4118296, 10 5 10
14,1453836, 10 5 10
15,1239392, 10 5 10
16,1126728, 10 5 10
17,972244, 10 5 10
18,964841, 10 5 10
19,798392, 10 5 10
20,935904, 10 5 10
21,925182, 10 5 10
22,854858, 10 5 10
23,821588, 10 5 10
24,863415, 10 5 10
25,964088, 10 5 10
26,860188, 10 5 10
27,840882, 10 5 10
28,848776, 10 5 10
29,840871, 10 5 10
30,880309, 10 5 10
31,906183, 10 5 10
32,867197, 10 5 10
33,876788, 10 5 10
34,836760, 10 5 10
35,829641, 10 5 10
36,823419, 10 5 10
37,866628, 10 5 10
38,1147481, 10 5 10
39,905581, 10 5 10
40,901006, 10 5 10
41,869676, 10 5 10
42,972721, 10 5 10
43,854917, 10 5 10
44,873212, 10 5 10
45,865234, 10 5 10
46,838386, 10 5 10
47,839826, 10 5 10
48,847509, 10 5 10
49,897961, 10 5 10
50,845974, 10 5 10
51,850845, 10 5 10
52,891276, 10 5 10
53,849429, 10 5 10
54,901826, 10 5 10
55,824005, 10 5 10
56,850442, 10 5 10
57,858554, 10 5 10
58,922539, 10 5 10
59,866804, 10 5 10
60,986510, 10 5 10
61,860196, 10 5 10
62,859961, 10 5 10
63,920344, 10 5 10
64,876535, 10 5 10
65,881598, 10 5 10
66,848768, 10 5 10
67,917042, 10 5 10
68,909352, 10 5 10
69,863889, 10 5 10
70,935253, 10 5 10
71,931131, 10 5 10
72,931383, 10 5 10
73,868354, 10 5 10
74,880954, 10 5 10
75,897130, 10 5 10
76,878220, 10 5 10
77,899894, 10 5 10
78,866474, 10 5 10
79,905050, 10 5 10
80,907779, 10 5 10
81,878892, 10 5 10
82,895121, 10 5 10
83,905584, 10 5 10
84,944868, 10 5 10
85,915474, 10 5 10
86,897184, 10 5 10
87,1097782, 10 5 10
88,930084, 10 5 10
89,850225, 10 5 10
90,964768, 10 5 10
91,973411, 10 5 10
92,932871, 10 5 10
93,952572, 10 5 10
94,1132284, 10 5 10
95,947301, 10 5 10
96,981970, 10 5 10
97,1066528, 10 5 10
98,880699, 10 5 10
99,936342, 10 5 10
100,937897, 10 5 10
101,990100, 10 5 10
102,913985, 10 5 10
103,968168, 10 5 10
104,938446, 10 5 10
105,920832, 10 5 10
106,1009104, 10 5 10
107,1189844, 10 5 10
108,884433, 10 5 10
109,972561, 10 5 10
110,1179967, 10 5 10
111,888446, 10 5 10
112,960724, 10 5 10
113,818393, 10 5 10
114,813509, 10 5 10
115,837383, 10 5 10
116,829939, 10 5 10
117,850473, 10 5 10
118,828857, 10 5 10
119,834637, 10 5 10
120,866634, 10 5 10
